Vorname;Nachname;Strasse;PLZ;Stadt;Land;E-Mail-Adresse
Beratungsstelle für;Abhängigkeitserkrankungen;Collegienstraße 59c;06886;Lutherstadt Wittenberg;Deutschland;suchtberatung.pgstift@jsd.de
Beratungsstelle für;Suchtfragen;Kolpingstraße 1;95444;Bayreuth;Deutschland;suchtberatung@diakonie-bayreuth.de
Berliner;Help Stiftung;Rütlistraße 18;13407;Berlin;Deutschland;info@bhs-tc.de
Berliner;Präventionspraxis;Chausseestraße 128/129;10115;Berlin;Deutschland;info@berlin-praeventionspraxis.de
BerTha;F. e.V.;Höhenstraße 25;40227;Düsseldorf;Deutschland;info@berthaf.de
Betreutes;Wohnen Bahnweg;Rödelheimer Bahnweg 27;60489;Frankfurt;Deutschland;bw-bahnweg@jj-ev.de
Betreutes;Wohnen Bw-Lv;Lessingstraße 21;76135;Karlsruhe;Deutschland;bewo.karlsruhe@bw-lv.de
Betreutes Wohnen;Frankfurt der Stiftung Waldmüh;Klauerstr. 7;60433;Frankfurt;Deutschland;harald.spoerl@stiftung-waldmuehle.de
Betreutes;Wohnen Torbogen;Beerbacher Str. 20;64297;Darmstadt;Deutschland;andrea.schaab@stiftung-waldmuehle.de
Betriebliches;Beratungszentrum im Caritasver;Rizzastr. 14;56068;Koblenz;Deutschland;bbz-koblenz@caritas-koblenz.de
Bildungszentrum Hermann;Hesse;Hainer Weg 98;60599;Frankfurt;Deutschland;bzh-jj@jj-ev.de
Blaues Kreuz in;Deutschland e.V.;Brienzer Str. 22;13407;Berlin;Deutschland;blaueskreuz-bkz@t-online.de
Blaukreuz;-Zentrum München;Ainmillerstr. 43;80801;München;Deutschland;kub.muenchen@blaues-kreuz.de
Blaukreuz-Zentrum München-;Ost;Berg-am-Laim-Str. 131;81673;München;Deutschland;suchtberatung.muenchen-ost@blaues-kreuz.de
Blaukreuz-Zentrum;Stuttgart;Daimlerstr. 44a;70372;Stuttgart;Deutschland;suchtberatung.stuttgart@blaues-kreuz.de
bwlv; Fachstelle Sucht;Moltkestr. 2;68165;Mannheim;Deutschland;fs-mannheim@bw-lv.de
bwlv; Fachstelle Sucht;Grabenallee 5;77652;Offenburg;Deutschland;fs-offenburg@bw-lv.de
bwlv Fachstelle Sucht;Heidelberg;Unterer Fauler Pelz 1;69117;Heidelberg;Deutschland;fs-heidelberg@bw-lv.de
bwlv Fachstelle Sucht;Karlsruhe;Karlstr. 61;76133;Karlsruhe;Deutschland;fs-karlsruhe@bw-lv.de
Cafe Flash -;Kontakteinrichtung für Drogena;Schwanenwall 42;44135;Dortmund;Deutschland;cafe.flash@soziales-zentrum.org
Café;Schließfach;Niederstr. 12-16;45141;Essen;Deutschland;cafe-schliessfach@cse.ruhr
Caritas Fachambulanz für;Suchtprobleme;Hemauerstr. 10c;93047;Regensburg;Deutschland;suchtambulanz@caritas-regensburg.de
Caritas; Fachstelle Sucht;Hubertusstraße 3;40219;Düsseldorf;Deutschland;Fachstelle.Sucht@caritas-duesseldorf.de
Caritas im Norden,;Fachdienst Suchthilfe;August-Bebel-Straße 2;18055;Rostock;Deutschland;suchtberatung@caritas-im-norden.de
Caritas Münster;Suchtberatung;Josefstr. 2;48151;Münster;Deutschland;suchtberatung@caritas-ms.de
Caritas Sucht- und;Drogenhilfe;Roonstr. 22;33330;Gütersloh;Deutschland;suchtberatung@caritas-guetersloh.de
Caritas Zentrum;Ludwigshafen;Ludwigstraße 67-69;67059;Ludwigshafen;Deutschland;caritas-zentrum.ludwigshafen@caritas-speyer.de
Caritas-Zentrum;Kaiserslautern;Engelsgasse 1;67657;Kaiserslautern;Deutschland;Suchtberatung.Kaiserslautern@Caritas-Speyer.de
Caritasverband Bielefeld;e.V.;Turnerstr. 4;33602;Bielefeld;Deutschland;sucht@caritas-bielefeld.de
Caritasverband für das;Erzbistum Berlin e.V.;Stralsunder Straße 20;16515;Oranienburg;Deutschland;suchtberatung-oranienburg@caritas-brandenburg.de
Caritasverband für die;Stadt und den Landkreis Osnabr;Johannisstr. 91;49074;Osnabrück;Deutschland;Sucht.os@caritas-os.de
Chamäleon social group;gGmbH;Alte Richtenberger Straße 10;18437;Stralsund;Deutschland;info@chamaeleon.me
CliC Deutschland;Landesverband NORDOST e.V.;Moltkestraße 37;23564;Lübeck;Deutschland;suchtberatung-luebeck@clic-deutschland.de
ConAction;;Schwanthalerstr 84;80336;München;Deutschland;conaction@condrobs.de
Condrobs e. V.;Suchtberatungsstelle Pasing;Bäckerstr. 4;81241;München - Pasing;Deutschland;pasing@condrobs.de
Condrobs e.V. Pedro-;Suchtfachstelle Ost;Therese-Giehse-Allee 69;81739;München;Deutschland;pedro@condrobs.de
Deaf;Sucht Hilfe;Böckmannstr. 4;20099;Hamburg;Deutschland;deaf@therapiehilfe.de
Diako Thüringen gem. GmbH;Suchtberatungsstelle;Friedensstraße 10;99817;Eisenach;Deutschland;g.boehm@diako-thueringen.de
Diakonie Köln und Region;gGmbH;Graf-Adolf-Str. 22;51065;Köln;Deutschland;andrea.naujoks@diakonie-koeln.de
Diakonie Nord Nord Ost -;Suchtberatungsstelle Wismar;Mecklenburger Straße 36a;23966;Wismar;Deutschland;suchtberatung.hwi@diakonie-nordnordost.de
Diakonie Nord Nord Ost in;Holstein gGmbH;Braunstraße 5;23552;Lübeck;Deutschland;suchtberatung.luebeck@diakonie-nordnordost.de
Diakoniestiftung Weimar;Bad Lobenstein gGmbH;Brudergasse 18;07318;Saalfeld/Saale;Deutschland;suchtberatung-saalfeld@diakonie-wl.de
Diakoniewerk;Gelsenkirchen und Wattenscheid;Munckelstr. 32;45879;Gelsenkirchen;Deutschland;sekretariat@meinediakonie.de
Diakonisches Werk -;Stadtmission gGmbH Suchtberatu;Fetscherstr. 10;01307;Dresden;Deutschland;suchtberatung.ddmitte@diakonie-dresden.de
die;Fleckenbühler;Kelsterbacher Str. 14;60528;Frankfurt;Deutschland;info@diefleckenbuehler.de
DROBS;Dortmund;Reinoldistraße 19;44135;Dortmund;Deutschland;drobs@soziales-zentrum.org
Drobs Hannover / STEP;gGmbH;Calenberger Esplanade 6;30169;Hannover;Deutschland;drobs.hannover@step-niedersachsen.de
Drogenberatung e.V.;Bielefeld;Ritterstraße 13;33602;Bielefeld;Deutschland;geschaeftsstelle@drobs-bielefeld.de
Drogennotdienst JJ;Frankfurt;Elbestraße 38;60329;Frankfurt am Main;Deutschland;dnd@jj-ev.de
Eltern; Plus / Comeback;Bahnhofsplatz 29;28195;Bremen;Deutschland;leitung@comebackgmbh.de
Escape Ambulanz für junge;Menschen mit Suchtproblemen;Hornerstr. 60 -70;28203;Bremen;Deutschland;kipsy@gesundheitsamt.bremen.de
Evangelische Stadtmission;und Gemeindedienst Erfurt gGmb;Michaelisstraße 14;99084;Erfurt;Deutschland;suchthilfezentrum@stadtmission-erfurt.de
Evangelische;Suchtberatung Frankfurt und Of;Eschersheimer Landstr. 567;60431;Frankfurt am Main;Deutschland;suchtberatung@frankfurt-evangelisch.de
Evangelisches Klinikum;Bethel, Klinik für Psychiatrie;Remterweg 69-71;33617;Bielefeld;Deutschland;petra.scherf-einstein@evkb.de
Fachambulanz für Alkohol-;und Drogenkranke in Vorpommern;Friedrich-Loeffler-Str. 13a;17489;Greifswald;Deutschland;fachambulanz-greifswald@web.de
Fachambulanz für;Suchtkranke;Rheinstraße 17;65185;Wiesbaden;Deutschland;fachambulanz@caritas-wirt.de
Fachambulanz für;Suchtprävention und Rehabilita;Kuhstr. 42;49716;Meppen;Deutschland;sucht.mep@caritas-os.de
Fachambulanz für;Suchtprävention und Rehabilita;Georg-Gröning-Straße 55;28209;Bremen;Deutschland;suchtberatung@caritas-bremen.de
Fachambulanz;Sucht;Im Wingert 9;53115;Bonn;Deutschland;fachambulanz@cd-bonn.de
Fachambulanz;Sucht;Große Telegraphenstraße 31;50676;Köln;Deutschland;fachambulanz@skm-koeln.de
Fachklinik Am;Birkenweg;Birkenweg 17;64295;Darmstadt;Deutschland;tagesrehabilitation@caritas-darmstadt.de
Fachklinik;COME IN!;Moorfleeter Deich 341;22113;Hamburg;Deutschland;come-in@therapiehilfe.de
Fachklinik;F42;Flughafenstraße 42;12053;Berlin;Deutschland;aufnahme@adv-suchthilfe.de
Fachklinik Lago,;Drogentherapie - Zentrum Berli;Am Großen Wannsee 29-31;14109;Berlin;Deutschland;lago@dtz-berlin.de
Fachstelle für Sucht und;Suchtprävention;Nordsteimkerstr. 3;38446;Wolfsburg;Deutschland;suchtberatung@diakonie-wolfsburg.de
Fachstelle;Sucht Freiburg;Basler Str.61;79100;Freiburg;Deutschland;Fis-freiburg@bw-lv.de
Fachstelle Sucht im Haus;der Diakonie;Pirmasenser Straße 82;67655;Kaiserslautern;Deutschland;fachstellesucht.kl@diakonie-pfalz.de
Fachstelle Sucht;Kaiserslautern;Pirmasenserstraße 82;67655;Kaiserslautern;Deutschland;Suchtberatung.Kaiserslautern@diakonie-pfalz.de
FDW;BEW Trocken-Weg;Greifswalder Str. 203;10405;Berlin;Deutschland;trockenweg@fdw-berlin.de
trockenweg[at]fdw-berlin.;de;Greifswalder Str. 203;10405;Berlin;Deutschland;trockenweg@fdw-berlin.de
FDW Tagesstätte Trocken-;Raum;Bernhard-Lichtenberg-Str. 3;10407;Berlin;Deutschland;trockenraum@fdw-berlin.de
FFGZ; Hagazussa e.V.;Neuhöfferstr. 37;50679;Köln;Deutschland;info@frauengesundheitszentrum-koeln.de
Fixpunkt;e. V.;Ohlauer Str. 22;10999;Berlin;Deutschland;verein@fixpunkt.org
Frauen Sucht Gesundheit e.;V.;Holtenauer Str. 127;24118;Kiel;Deutschland;info@fsg-sh.de
Frauentherapiezentrum;Suchtberatung;Güllstraße 3;80336;München;Deutschland;suchtberatung@ftz-muenchen.de
FrauenZimmer;;Baslerstraße 8;79100;Freiburg;Deutschland;suchtberatung@frauenzimmer-freiburg.de
FrauSuchtZukunft e.V.,;StoffBruch;Friedrichstr. 231;10969;Berlin;Deutschland;stoffbruch@frausuchtzukunft.de
Gemeindepsychiatrie Bonn-;Rhein-Sieg gGmbH;Eifelstraße 9;53119;Bonn;Deutschland;valsamas@gemeindepsychiatrie.de
Gemeinschaftskrankenhaus;Havelhöhe;Kladower Damm 221;14089;Berlin;Deutschland;suchtmedizin@havelhoehe.de
Gesundheitsamt;Mönchengladbach;Voltastr. 2 / Gebäude 2;41061;Mönchengladbach;Deutschland;Sozialpsychiatrischer-Dienst@moenchengladbach.de
Grenzenlos e.V. Verein;für behinderte Menschen und Me;Rathausgasse 4;07743;Jena;Deutschland;pzh@grenzenlos-jena.de
Guttempler-Sozialwerk;Kiel;Körnerstraße 7;24103;Kiel;Deutschland;info@gsw-kiel.de
Hartmut-Spittler-;Fachklinik am Vivantes Auguste;Rubensstr.125;12157;Berlin;Deutschland;entwoehnung@vivantes.de
Haus;Silberburg;Katharinenstr.1;70182;Stuttgart;Deutschland;b.schymura@caritas-stuttgart.de
Integrative;Suchtberatung Königsberger;Königsberger Strasse 11;12207;Berlin Steglitz-Zehlendorf;Deutschland;sucht-koenigsberger@caritas-berlin.de
Integrierte Suchtberatung;Neuruppin;Heinrich-Rau-Straße 27-30;16816;Neuruppin;Deutschland;suchtberatung.opr@tannenhof.de
kbo-Heckscher-Klinikum;gGmbH;Deisenhofenerstr. 28;81539;München;Deutschland;info.hek-mdh@kbo.de
KIRINUS;Fachambulanz;Landshuter Allee 45;80637;München;Deutschland;fachambulanz@kirinus.de
Klinik für;Abhängigkeitserkrankungen, Hel;Wismarsche Straße 393-397;19049;Schwerin;Deutschland;markus.stuppe@helios-kliniken.de
Klinik für Psychiatrie;und Psychosomatik Reutlingen -;Wörthstr. 52/1;72764;Reutlingen;Deutschland;info@pprt.de
Klinik für Psychiatrie;und Psychotherapie der LMU Mün;Nußbaumstraße 7;80336;München;Deutschland;ml-psy-info@med.uni-muenchen.de
Klinik;Hohe Mark;Borsigallee 19;60388;Frankfurt;Deutschland;pia@hohemark.de
Klinikum; Bremen-Ost;Züricherstraße 40;28325;Bremen;Deutschland;info@gesundheitnord.de
Klinikum Ernst von;Bergmann gemeinnützige GmbH;In der Aue 59/61;14480;Potsdam;Deutschland;yvonne.schmidt@klinikumevb.de
KOKON;;Galvanistr. 14;10587;Berlin;Deutschland;mail@kokon.de
Kompass;City;Obstmarkt 5;86152;Augsburg;Deutschland;city@kompass-augsburg.de
Kompass;Direkt;Ahornerstr. 7;86154;Augsburg;Deutschland;direkt@kompass-augsburg.de
KPB Fachambulanz für;Suchterkrankungen;Machtlfinger Strasse 11;81379;München;Deutschland;info@kpb-fachambulanz.de
LAGAYA - Verein zur Hilfe;suchtmittelabhängiger Frauen e;Neckarstraße 227;70190;Stuttgart;Deutschland;kontakt@lagaya.de
Land in Sicht - PROWO;gGmbH;Am Holzmarkt 4a;15230;Frankfurt (O.);Deutschland;inFFO@lis-prowo.de
Landratsamt Regensburg /;Gesundheitsamt für Stadt und L;Altmühlstr. 3;93059;Regensburg;Deutschland;sozialdienst@lra-regensburg.de
Landshuter;Netzwerk e.V.;Neustadt 464-465;84028;Landshut;Deutschland;info@landshuter-netzwerk.de
Lesbenberatung Berlin e.V.;/LesMigraS;Kulmer Str. 20a;10783;Berlin;Deutschland;info@lesmigras.de / info@lesbenberatung-berlin.de
LogIn - Suchtberatung und;psychosoziale Betreuung;Kaiser-Friedrich-Str. 82;10585;Berlin;Deutschland;login@notdienstberlin.de
Lukas-Werk;Gesundheitsdienste GmbH - Fach;St. Leonhard 1;38102;Braunschweig;Deutschland;fa-braunschweig@lukas-werk.de
LVR;-Klinik Bonn;Kaiser-Karl-Ring 20;53111;Bonn;Deutschland;klinik-bonn@lvr.de
LVR-Klinik Köln,;Abteilung für Abhängigkeitserk;Wilhelm-Griesinger-Str. 23;51109;Köln;Deutschland;Birgit.Weisel@lvr.de
LVR;-Klinikum Düsseldorf;Bergische Landstr. 2;40629;Düsseldorf;Deutschland;lvr-kd.oe3600-sekretariat@lvr.de
LVR-Universitätsklinik;Essen;Virchowstraße 174;45147;Essen;Deutschland;klinikum-essen@lvr.de
LWL Universitätsklinik;Hamm;Heithofer Allee 64;59071;Hamm;Deutschland;lwl-uk-hamm@lwl.org
Markus;-Haus;Kamper Weg 176a;40627;Düsseldorf;Deutschland;peter.benary@diakonie-duesseldorf.de
MEDIAN; Gesundheitsdienste;Schloßstraße 43-45;56068;Koblenz;Deutschland;koblenz-kontakt@median-kliniken.de
MEDIAN Gesundheitszentrum;Köln;Neumarkt 8-10;50667;Köln;Deutschland;gesundheitszentrum-koeln@median-kliniken.de
Medizinische Hochschule;Hannover;Carl Neuberg-Str.1;30625;Hannover;Deutschland;glahn.alexander@mh-hannover.de
MOBS SÜD - Mobile;Beratungsstelle für junge Kons;Lütt Enn 6;21149;Hamburg;Deutschland;mobs-harburg@therapiehilfe.de
MW Malteser Werke gGmbH,;Auxilium Therapeutisches Wohne;Ewald-Wortmann-Weg 4;59069;Hamm;Deutschland;anfrage@malteser.org
Nado;;Wellinghofer Str. 103;44263;Dortmund;Deutschland;nado@nado.de
neon - Prävention und;Suchthilfe Rosenheim gGmbH;Ruedorfferstr. 9;83022;Rosenheim;Deutschland;info@neon-rosenheim.de
Oberberg Tagesklinik;Berlin Kurfürstendamm;Kurfürstendamm 216;10719;Berlin;Deutschland;kurfuerstendamm@oberbergkliniken.de
PBAM Alkohol- und;Medikamentenberatung Wilmersdo;Holsteinische Straße 38/1;10717;Berlin;Deutschland;suchtberatung-wilmersdorf@pbam.de
PBAM;e.V.;Crellestr. 42;10827;Berlin;Deutschland;tagesstaette-schoeneberg@pbam.de
prisma;gGmbH;Ihmeplatz 4;30449;Hannover;Deutschland;kontakt@prismahannover.de
Prop e.V.;Wiedereingliederung;Maistraße 37;80337;München;Deutschland;wiedereingliederung@prop-ev.de
Psychiatrisches;Behandlungszentrum Bremen-Nord;Aumunder Heerweg 83/85;28757;Bremen;Deutschland;anna.moelenkamp@klinikum-bremen-nord.de
Psychosoziale Beratungs-;und Behandlungsstelle;Liebknechtstraße 19;99085;Erfurt;Deutschland;psbs-erfurt@sit-online.org
Psychosoziale Beratungs-;und Behandlungsstelle für Such;Obstmarkt 28;90403;Nürnberg;Deutschland;suchtberatung@caritas-nuernberg.de
Psychosoziale Beratungs-;und Behandlungsstelle für Such;Katharinenstr. 2b;70182;Stuttgart;Deutschland;psb@caritas-stuttgart.de
Psychosoziale;Beratungsstelle der Drogenhilf;Saargemünder Straße 76;66119;Saarbrücken;Deutschland;info@dh-saar.de
Psychosoziale;Beratungsstelle für Alkohol- u;Steubenstraße 32;99423;Weimar;Deutschland;psbs-weimar@sit-online.org
Psychosoziale;Beratungsstelle für Suchtkrank;Marienstraße 12;73431;Aalen;Deutschland;info@diakonieverband-ostalb.de
Psychosoziale;Beratungsstelle für Suchtkrank;Gemeindehausstraße 7;73525;Schwäbisch Gmünd;Deutschland;info@diakonieverband-ostalb.de
Psychosoziale;Beratungsstelle für Suchtprobl;Bahnhofstraße 4-6;97070;Würzburg;Deutschland;sucht@caritas-wuerzburg.org
Psychosoziale;Beratungsstelle für Suchtprobl;Schrannenstr. 10;97318;Kitzingen;Deutschland;suchtberatung@caritas-kitzingen.de
Psychosoziale;Beratungsstelle für Suchtprobl;Hartmannstrasse 2a;97688;Bad Kissingen;Deutschland;suchtberatung@caritas-kissingen.de
Psychosoziale;Beratungsstelle Wernigerode;Degenerstraße 8;39955;Wernigerode;Deutschland;suchtberatung-wernigerode@diako-harz.de
Psychosoziale;Beratungsstelle/Suchtberatung;Bahnhofstraße 2;99610;Sömmerda;Deutschland;suchtberatung@asb-soemmerda.de
Psychosoziale;Suchtberatung - Caritasverband;Treibgasse 26;63739;Aschaffenburg;Deutschland;suchtberatung@caritas-aschaffenburg.de
Psychosoziale;Suchtberatungsstelle Weimarer;Bahnhofstraße 28;99510;Apolda;Deutschland;psbs-weimarerland@sit-online.org
quadro Sucht- und;Drogenberatung;Paterweg 52;59269;Beckum;Deutschland;beckum@qua-dro.de
quadro Sucht- und;Drogenberatung Oelde;Wibbeltstraße 2;59302;Oelde;Deutschland;oelde@qua-dro.de
Quartierszentrum;Bürgermeister Gräf Haus;Hühnerweg 22;60599;Frankfurt am Main;Deutschland;pflegeplatz.bgh@frankfurter-verband.de
Regio; Klinikum Elmshorn;Agnes-Karll-Allee 17;25337;Elmshorn;Deutschland;
Regionale Diakonie;Rüsselsheim - Suchtberatungsst;Am Markt 10;55276;Oppenheim;Deutschland;
suchtberatung.rheinhessen-;diakonie.de;Am Markt 10;55276;Oppenheim;Deutschland;
Reha-Tagesklinik für;Abhängigkeitserkrankungen;St. Leonhard 3;38102;Braunschweig;Deutschland;rehazentrum-braunschweig@lukas-werk.de
RehaCentrum; Alt-Osterholz;Osterholzer Landstraße 49a;28325;Bremen;Deutschland;rehacentrum@therapiehilfe.de
Saaletalklinik;;Salzburgweg 7;97616;Bad Neustadt/Saale;Deutschland;stk@saaletalklinik.de
salus;ambulanz Bad Belzig;Brücker Landstraße 22 b;14806;Bad Belzig;Deutschland;belzig@salus-ambulanz.de
salus;ambulanz Berlin;Krumme Straße 92;10585;Berlin;Deutschland;berlin@salus-ambulanz.de
salus ambulanz;Brandenburg;Deutsches Dorf 45-47;14776;Brandenburg a.d.H.;Deutschland;brandenburg@salus-ambulanz.de
salus;ambulanz Teltow;Lankeweg 4;14513;Teltow;Deutschland;teltow@salus-ambulanz.de
salus;ambulanz Werder;Am Gutshof 1-7;14542;Werder (Havel);Deutschland;werder@salus-ambulanz.de
Salus;gGmbH;Olga-Benario-Straße 16-18;06406;Bernburg;Deutschland;fkh.bernburg@salus-lsa.de
salus;klinik Hürth;Willy-Brandt-Platz 1;50354;Hürth;Deutschland;mail@salus-huerth.de
Salus;Klinik Lindow;Straße nach Gühlen 10;16835;Lindow;Deutschland;mail@salus-lindow.de
salus kliniken Bad;Nauheim;Schwallheimer Straße 81;61231;Bad Nauheim;Deutschland;kontakt@salus-bad-nauheim.de
SBB;Grünau;Stuttgarter Allee 6;04209;Leipzig;Deutschland;ZfDGruenau@sanktgeorg.de
SBB; Impuls;Möckernsche Str.3;04155;Leipzig;Deutschland;impuls@suchtzentrum.de
SBB;Wurzner Straße 151;Wurzner Straße 151;04318;Leipzig;Deutschland;zfdwurznerstrasse@sanktgeorg.de
Scarabäus Hoher Fläming e.;V.;OT Schmerwitz 37;14827;Wiesenburg (Mark);Deutschland;scarabaeus-schmerwitz@t-online.de
Schwarzbachklinik;Ratingen;Niederbeckweg 6;40880;Ratingen;Deutschland;schwarzbachklinik@deutscher-orden.de
Selbsthilfebüro Freiburg/;Breisgau-Hochschwarzwald;Schwabentorring 2;79098;Freiburg;Deutschland;selbsthilfe@paritaet-freiburg.de
SHG Zentrum für;Abhängigkeitsprobleme;Großherzog-Friedrich-Str. 11;66111;Saarbrücken;Deutschland;zfa@sb.shg-kliniken.de
SiT-Suchthilfe in;Thüringen gemeinnützige GmbH;Brühl 05;99867;Gotha;Deutschland;psbs-gotha@sit-online.org
SiT-Suchthilfe in;Thüringen gemeinnützige GmbH;Arndtstraße 2;99096;Erfurt;Deutschland;adaption@sit-online.org
SiT-Suchthilfe in;Thüringen GmbH;Kritzegraben 4;07743;Jena;Deutschland;psbs-Jena@sit-online.org
SKM;Köln Suchtnotruf;Große Telegraphenstr. 31;50676;Köln;Deutschland;suchtnotruf@skm-koeln.de
SKM Rehazentrum;Lindenthal;Franzstr. 8-10;50931;Köln;Deutschland;reha-zentrum@skm-koeln.de
SOMATRiX;Drogenberatung;Rathenower Str. 2-3;14770;Brandenburg;Deutschland;somatrix@ah-brandenburg.de
Soziale Beratung am;Gesundheitsamt;Blumenstraße 1;82467;Garmisch-Partenkirchen;Deutschland;Soziale-Beratung-Gesundheitsamt@lra-gap.de
Sozialer Dienst für;erwachsene psychisch kranke un;Karl-Kellner-Ring 51;35576;Wetzlar;Deutschland;gesundheitsamt@lahn-dill-kreis.de
Sozialpsychiatrischer;Dienst;Heinrich-Heine-Straße 1;03149;Forst (Lausitz);Deutschland;gesundheitsamt@lkspn.de
Sozialpsychiatrischer;Dienst;Bismarckstraße 16;52351;Düren;Deutschland;n.deriese@kreis-dueren.de
Sozialpsychiatrischer;Dienst Altmarkkreis Salzwedel;Karl-Marx-Straße 32;29410;Salzwedel;Deutschland;gesundheitsamt@altmarkkreis-salzwedel.de
Sozialpsychiatrischer;Dienst der Stadt Krefeld;Gartenstraße 30-32;47792;Krefeld;Deutschland;sekretariat.spdi@krefeld.de
Sozialpsychiatrischer;Dienst der Stadt Krefeld;Gartenstr.30-32;47798;Krefeld;Deutschland;sekretariat.spdi@krefeld.de
Sozialpsychiatrischer;Dienst Kreis Lippe;Felix-Fechenbachstr.5;32756;Detmold;Deutschland;A.Helbing-Uebelacker@kreis-lippe.de
Sozialpsychiatrischer;Dienst SpDi;Kölner Straße 187;40227;Düsseldorf;Deutschland;spdi-gesundheitsamt@duesseldorf.de
Sozialpsychiatrischer;Dienst, Suchtberatung;Herzebrockerstr. 140;33334;Gütersloh;Deutschland;spdienst@kreis-guetersloh.de
Sozialteam STZ Görlitz-;Weißwasser;Jakobstraße 24;02826;Görlitz;Deutschland;psbb.goerlitz@sozialteam.de
Sozialth. Centrum;Lebenswert;Straße der Volkssolidarität 4;06526;Sangerhausen;Deutschland;sangerhausen@kontext-ilmenau.de
Sozialtherapeutische;Nachsorgeeinrichtung Röderichs;Röderichstr. 6;60489;Frankfurt am Main;Deutschland;info@gsw-nachsorge.de
Sozialtherapeutisches;Centrum Sturmheide Ilmenau;Sturmheide 58-62;98693;Ilmenau;Deutschland;Ilmenau@kontext-ilmenau.de
Sozialtherapeutisches;Übergangswohnheim;An der Waidwäsche 5;99097;Erfurt;Deutschland;wohnheim-waidwaesche@neustart-online.org
Sozialtherapeutisches;Wohnheim Weimar;Peter Cornelius Strasse 8;99423;Weimar;Deutschland;wohnheim-weimar@neustart-online.org
Sozialwerk der EFG;Malchin Teterow e.V.;Ni8els-Stensen-Straße 2;17166;Teterow;Deutschland;suchtberatungteterow@sozialwerk.net
SpAx; des Fixpunkt e.V.;Schönwalder Str. 27;13585;Berlin;Deutschland;spax@fixpunkt.org
SpDi - Kreis Herzogtum;Lauenburg;Barlachstr. 4;23909;Ratzeburg;Deutschland;Fachdienst180-SpDi@Kreis-RZ.de
