Vorname;Name;Strasse;PLZ;Ort;E-Mail-Adresse
Suchthilfe Region Basel;Stadtlärm: Teilstationäres Rei;Murbacherstrasse 35;4056;Basel;stadtlaerm@suchthilfe.ch 
Lungenliga Bern/Ligue;pulmonaire bernoise;Chutzenstrasse 10;3007;Bern;rauchstopp@lungenliga-be.ch 
Lindenhofspital -;Interventionszentrum, Pneumolo;Bremgartenstrasse 117;3012;Bern;lindenhof@lindenhofgruppe.ch 
Lungenliga beider Basel,;Standort Basel Rauchstopp;Mittlere Strasse 35;4056;Basel;info@llbb.ch 
Abteilung Sucht -;Suchtberatung Gesundheitsdepar;Malzgasse 30;4001;Basel;abteilung.sucht@bs.ch 
Beratungsangebot;stopsmoking Krebsliga Schweiz;Effingerstrasse 40;3001;Bern;contact@stopsmoking.ch 
Universitätsspital Basel,;Medizinische Poliklinik Rauchs;Petersgraben 4 / Spitalstrasse 21;4051;Basel;rauchstopp.medpol@usb.ch 
Regionale Beratungsstelle;Bern Erziehungsberatung des Ka;Effingerstrasse 12;3011;Bern;eb.bern@erz.be.ch 
Zentrum Bern Berner;Gesundheit - Santé bernoise;Eigerstrasse 80;3007;Bern;bern@beges.ch 
Rauchstopp-Sprechstunde;Universitätsklinik für Allgeme;Anna-Seiler-Haus;3010;Bern;poliklinik.medizin@insel.ch 
Selbsthilfe BE,;Beratungszentrum Bern;Bollwerk 41;3011;Bern;info@selbsthilfe-be.ch 
Südhang - Klinik für;Mensch und Sucht Ambulatorium;Effingerstrasse 33;3008;Bern;ambulatorium-bern@suedhang.ch 
Lungenliga Solothurn,;Standort Breitenbach Rauchstop;Bodenackerstrasse 1a;4226;Breitenbach;info@lungenliga-so.ch 
Lungenliga Bern, Standort;Biel / Ligue pulmonaire Bernoi;Bahnhofstrasse 2;2502;Biel/Bienne;rauchstopp@lungenliga-be.ch 
Selbsthilfe BE,;Beratungszentrum Biel;Bahnhofstrasse 30;2502;Biel;info@selbsthilfe-be.ch 
Suchthilfe Ost GmbH;Beratung;Bodenackerstrasse 1a;4226;Breitenbach;info@suchthilfe-ost.ch 
Zentrum Jura bernois-;Seeland Berner Gesundheit - Sa;Bahnhofstrasse 50;2501;Biel;biel@beges.ch 
Lungenliga Zentralschweiz,;Beratungsstelle Brunnen Rauch;Bahnhofstrasse 29;6440;Brunnen;info@lungenliga-zentralschweiz.ch 
Beratungsstelle Soziale;Dienste Werdenberg;Fichtenweg 10;9470;Buchs;info@sdw-berg.ch 
Südhang - Klinik für;Mensch und Sucht Ambulatorium;Kirchbergstrasse 97;3400;Burgdorf;ambulatorium-burgdorf@suedhang.ch 
Beratungsstelle für;Suchtfragen;Oberdorf 4;9055;Bühler;suchtberatung@ar.ch 
Zentrum Oberaargau-;Emmental Berner Gesundheit - S;Bahnhofstrasse 90;3400;Burgdorf;burgdorf@beges.ch 
Station Danis;Psychiatrische Dienste Graubün;La Nicca Strasse 17;7408;Cazis;danis@pdgr.ch 
Lungenliga Graubünden,;Standort Chur Rauchstopp-Berat;Gürtelstrasse 80;7000;Chur;info@llgr.ch 
Selbsthilfe BE,;Beratungszentrum Burgdorf;Lyssachstrasse 91;3400;Burgdorf;info@selbsthilfe-be.ch 
bis – Beratung in;Suchtfragen Sozialdienst Limma;Poststrasse 14;8953;Dietikon;suchtberatung@sd-l.ch 
Fachstelle Sucht;Sozialdienste Bezirk Dielsdorf;Brunnwiesenstrasse 8a;8157;Dielsdorf;info@sdbd.ch 
Suchthilfe Ost GmbH;Beratung;Friedensgasse 10;4143;Dornach;info@suchthilfe-ost.ch 
Forel Klinik: Klinik für;Behandlung von Alkohol- und Me;Islikonerstrasse 5;8548;Ellikon an der Thur;info@forel-klinik.ch 
Perspektive Thurgau,;Standort Diessenhofen;Basadingerstrasse 12;8253;Diessenhofen;info@perspektive-tg.ch 
Sozialdienst für;Suchtfragen;Grabenstrasse 8;7001;Chur;sd.suchtfragen@soa.gr.ch 
Lungenliga Zentralschweiz,;Beratungsstelle Emmen Rauchst;Mooshüslistrasse 14;6032;Emmen;info@lungenliga-zentralschweiz.ch 
Suchtberatung ags,;Döttingen;Hauptstrasse 7;5312;Döttingen;doettingen@suchtberatung-ags.ch 
Selbsthilfe;Graubünden;Reichsgasse 25;7000;Chur;kontakt@selbsthilfegraubuenden.ch 
Standort Frutigen Berner;Gesundheit - Santé bernoise;Adelbodenstrasse 27;3714;Frutigen;thun@beges.ch 
Rauchstopp-Beratung;Lungenliga Thurgau im Kantonss;Pfaffenholzstrasse 4;8500;Frauenfeld;info@lungenliga-tg.ch 
Rauchstopp-Beratung;Lungenliga Thurgau, Beratungss;Zürcherstrasse 138;8500;Frauenfeld;info@lungenliga-tg.ch 
Perspektive Thurgau,;Standort Frauenfeld;Oberstadtstrasse 6;8500;Frauenfeld;info@perspektive-tg.ch 
Novizonte - Sozialwerk;Therapeutische Gemeinschaft;Erlenstrasse 102;6020;Emmenbrücke;therapie@novizonte.ch 
Lungenliga Ost,;Beratungsstelle Glarus Rauchst;Spielhof 14a;8750;Glarus;glarus@lungenliga-ost.ch 
Suchtberatung Soziale;Dienste Mittelrheintal;Widnauerstrasse 8;9435;Heerbrugg;beratung-fss@s-d-m.ch 
PERSPEKTIVE Region;Solothurn-Grenchen Beratungsst;Kirchstrasse 11;2540;Grenchen;beratungsstellen@perspektive-so.ch 
Beratungsstelle für;Suchtfragen;Gossauerstrasse 2;9100;Herisau;suchtberatung@ar.ch 
Sozialdienst Region;Gossau Suchtberatung;Gutenbergstrasse 8;9200;Gossau;sozialdienst@srg.sg.ch 
Sozialberatung, Alkohol-;und Drogenberatung Ilanz Surve;Bahnhofstrasse 31;7130;Ilanz;claudia.tomaschett@soa.gr.ch 
Südhang - Klinik für;Mensch und Sucht Tagesklinisch;Südhang 1;3038;Kirchlindach;tagesklinik@suedhang.ch 
Perspektive Thurgau,;Standort Kreuzlingen;Rheinstrasse 8;8280;Kreuzlingen;info@perspektive-tg.ch 
Südhang - Klinik für;Mensch und Sucht Stationäre Be;Südhang 1;3038;Kirchlindach;info@suedhang.ch 
Standort Interlaken;Berner Gesundheit - Santé bern;Bahnhofstrasse 20;3800;Interlaken;thun@beges.ch 
Zweckverband SNH Soziales;Netz Bezirk Horgen Suchtberatu;Seestrasse 238;8810;Horgen;suchtberatung@snh-zv.ch 
Standort Ins,;Alterszentrum Ins Berner Gesun;Im Gostel 2+5;3232;Ins;biel@beges.ch 
Standort Jegenstorf;Berner Gesundheit - Santé bern;Gesundheitszentrum «the link»;3303;Jegenstorf;bern@beges.ch 
Zentrum für Soziales;Standort Hochdorf;Bankstrasse 3b;6281;Hochdorf;hochdorf@zenso.ch 
Fachstelle Beratung;Gemeinde Köniz;Sägestrasse 65;3098;Köniz;beratung@koeniz.ch 
Lungenliga Bern, Standort;Langenthal Rauchstopp;Marktgasse 1;4900;Langenthal;rauchstopp@lungenliga-be.ch 
Lungenliga beider Basel,;Standort Liestal Rauchstopp;Rheinstrasse 16;4410;Liestal;info@llbb.ch 
Standort Laupen Berner;Gesundheit - Santé bernoise;c/o Soziale Dienste Region Laupen;3177;Laupen;bern@beges.ch 
Spital Lachen AG,;Tagesklinik Rauchstopp-Beratun;Oberdorfstrasse 41;8853;Lachen;tagesklinik.sek@spital-lachen.ch 
Standort Langenthal;Berner Gesundheit - Santé bern;Schulhausstrasse 5;4900;Langenthal;langenthal@beges.ch 
Suchtberatung ags,;Lenzburg;Niederlenzer Kirchweg 3;5600;Lenzburg;lenzburg@suchtberatung-ags.ch 
Standort Langnau Berner;Gesundheit - Santé bernoise;Dorfstrasse 5;3550;Langnau i. E.;langnau@beges.ch 
Ambulantes Angebot Akzent;Prävention und Suchttherapie;Seidenhofstrasse 10;6003;Luzern;info@akzent-luzern.ch 
Suchtfachstelle;am See;Bruechstrasse 16;8706;Meilen;info@suchtfachstelleamsee.ch 
Standort Meiringen Berner;Gesundheit - Santé bernoise;Spitalstrasse 13;3860;Meiringen;thun@beges.ch 
KLICK Fachstelle Sucht;Region Luzern Gemeindeverband;Obergrundstrasse 49;6003;Luzern;info@klick-luzern.ch 
Luzerner Kantonsspital,;Herzzentrum Rauchstopp-Beratun;Spitalstrasse, Haus 31;6000;Luzern 16;herzzentrum@luks.ch 
Standort Lyss,;Sozialdienst Lyss Berner Gesun;Marktplatz 14;3250;Lyss;biel@beges.ch 
Dietisberg Wohnen &;Werken;Dietisberg;4448;Läufelfingen;dietisberg@dietisberg.ch 
Lungenliga Ost,;Beratungsstelle Mels Rauchstop;Rietcenter, Pizolstrasse 4;8887;Mels;rauchstopp@lungenliga-ost.ch 
Selbsthilfe Luzern;Obwalden Nidwalden Verein Selb;Weggismattstrasse 9a;6004;Luzern;mail@selbsthilfeluzern.ch 
Lungenliga Solothurn,;Standort Olten Rauchstopp-Bera;Neuhardstrasse 38 (Eingang Ost);4600;Olten;info@lungenliga-so.ch 
Soziale Dienste Gemeinde;Oberuzwil Suchtberatung Oberuz;Gerbestrasse 1;9242;Oberuzwil;suchtberatung@oberuzwil.ch 
Standort Münsingen Berner;Gesundheit - Santé bernoise;Erlenauweg 17;3110;Münsingen;bern@beges.ch 
Rauchstopp-Beratung;Lungenliga Thurgau im Kantonss;Spitalcampus 1;8596;Münsterlingen;info@lungenliga-tg.ch 
Suchtberatung;Uzwil;Flawilerstrasse 2;9244;Niederuzwil;sozialberatung@uzwil.ch 
Fachstelle Sucht,;Sozialdienst Bezirk Pfäffikon;Sophie-Guyer-Strasse 9;8330;Pfäffikon;sucht@sdbp.ch 
Suchtfachstelle Rorschach;Stiftung Suchthilfe St. Gallen;Signalstrasse 15;9400;Rorschach;suchtfachstelle.rorschach@stiftung-suchthilfe.ch 
Suchthilfe Ost GmbH;Beratung;Aarburgerstrasse 63;4600;Olten;info@suchthilfe-ost.ch 
Lungenliga Zentralschweiz,;Beratungsstelle Pfäffikon Rau;Zentrum Staldenbach 5;8808;Pfäffikon;info@lungenliga-zentralschweiz.ch 
Perspektive Thurgau,;Standort Romanshorn;Bankstrasse 4;8590;Romanshorn;info@perspektive-tg.ch 
Suchtberatung ags,;Rheinfelden;Hermann Keller-Strasse 9;4310;Rheinfelden;rheinfelden@suchtberatung-ags.ch 
Regionales;Beratungszentrum Rapperswil-Jo;Alte Jonastrasse 24;8640;Rapperswil;rbz@rj.sg.ch 
Fachstelle Sucht,;Sozialdienst Bezirk Pfäffikon;Sophie-Guyer-Strasse 9;8330;Pfäffikon;sucht@sdbp.ch 
Suchtfachstelle Rorschach;Stiftung Suchthilfe St. Gallen;Signalstrasse 15;9400;Rorschach;suchtfachstelle.rorschach@stiftung-suchthilfe.ch 
Suchthilfe Ost GmbH;Beratung;Aarburgerstrasse 63;4600;Olten;info@suchthilfe-ost.ch 
Lungenliga Zentralschweiz,;Beratungsstelle Pfäffikon Rau;Zentrum Staldenbach 5;8808;Pfäffikon;info@lungenliga-zentralschweiz.ch 
Perspektive Thurgau,;Standort Romanshorn;Bankstrasse 4;8590;Romanshorn;info@perspektive-tg.ch 
Suchtberatung ags,;Rheinfelden;Hermann Keller-Strasse 9;4310;Rheinfelden;rheinfelden@suchtberatung-ags.ch 
Regionales;Beratungszentrum Rapperswil-Jo;Alte Jonastrasse 24;8640;Rapperswil;rbz@rj.sg.ch 
Sozial-BeratungsZentrum;Region Entlebuch, Wolhusen, Ru;Hauptstrasse 13;6170;Schüpfheim;info@sobz-entlebuch.ch 
Regionaler Sozialdienst;Unterengadin-Münstertal;Stradun 403A;7550;Scuol;rsd.scuol@soa.gr.ch 
Standort Schwarzenburg;Berner Gesundheit - Santé bern;Sozialdienst;3150;Schwarzenburg;bern@beges.ch 
Kantonsspital St. Gallen,;Ambulatorium Lungenzentrum Rau;Rorschacher Strasse 95, Haus 33B;9007;St. Gallen;lungenzentrum@kssg.ch 
Lungenliga Ost, Geschäfts-;und Beratungsstelle St.Gallen;Kolumbanstrasse 2;9008;St. Gallen;info@lungenliga-ost.ch 
Kontaktstelle Selbsthilfe;Kanton Solothurn Verein Selbst;Poststrasse 2;4500;Solothurn;info@selbsthilfesolothurn.ch 
PERSPEKTIVE Region;Solothurn-Grenchen Beratungsst;Weissensteinstrasse 33;4502;Solothurn;suchtberatung@perspektive-so.ch 
Rauchstoppberatung;Bürgerspital Solothurn;Schöngrünstrasse 42;4500;Solothurn;rauchstoppberatung.bss@spital.so.ch 
PERSPEKTIVE Region;Solothurn-Grenchen Suchtpräven;Weissensteinstrasse 33;4502;Solothurn;praevention@perspektive-so.ch 
Perspektive Thurgau,;Standort Sirnach;Kirchplatz 5;8370;Sirnach;info@perspektive-tg.ch 
Lungenliga Solothurn,;Standort Solothurn Rauchstopp-;Dornacherstrasse 33;4501;Solothurn;info@lungenliga-so.ch 
Spezialwohnheim GHG;Rosenberg;Kreuzackerstrasse 6;9000;St. Gallen;spezialwohnheim@ghg-rosenberg.ch 
Suchtberatung Kanton;Nidwalden;Engelbergstrasse 34;6371;Stans;suchtberatung@nw.ch 
Lungenliga Ost,;Beratungsstelle St. Gallenkapp;Rickenstrasse 25;8735;St. Gallenkappel;rauchstopp@lungenliga-ost.ch 
Zentrum für Soziales;Standort Sursee;Christoph-Schnyder-Strasse 4b;6210;Sursee;sursee@zenso.ch 
Suchtfachstelle St.;Gallen Stiftung Suchthilfe St.;Brühlgasse 15;9000;St. Gallen;suchtfachstelle@stiftung-suchthilfe.ch 
Lungenliga Zentralschweiz,;Beratungsstelle Sursee Rauchs;Industriestrasse 12;6210;Sursee;info@lungenliga-zentralschweiz.ch 
Soziale Dienste Bezirk;Uster, Fachstelle Sucht;Industriestrasse 27;8604;Volketswil;sucht@sdbu.ch 
Regionales;Beratungszentrum Uznach Zweckv;Unterer Stadtgraben 6;8730;Uznach;info@rbuznach.ch 
Selbsthilfe BE,;Beratungszentrum Thun;Marktgasse 17;3600;Thun;info@selbsthilfe-be.ch 
Fachstelle für Alkohol-;und Suchtprobleme Thun Blaues;Kasernenstrasse 17;3600;Thun;fs.thun@blaueskreuzbern.ch 
Selbsthilfezentrum;Zürcher Oberland Verein pro Se;Im Werk 1;8610;Uster;info@selbsthilfezentrum-zo.ch 
Lungenliga Bern, Standort;Thun Rauchstopp;Aarefeldstrasse 19;3600;Thun;rauchstopp@lungenliga-be.ch 
Zentrum Oberland Berner;Gesundheit - Santé bernoise;Aarestrasse 38b;3600;Thun;thun@beges.ch 
Integrierte Suchthilfe;Winterthur (ISW);Tösstalstrasse 19;8403;Winterthur;isw@win.ch 
Suchtberatung;ags, Brugg;Königsfelderstrasse 1;5210;Windisch;brugg@suchtberatung-ags.ch 
Rauchstopp-Beratung;Lungenliga Thurgau, Standort W;Bahnhofstrasse 15;8570;Weinfelden;info@lungenliga-tg.ch 
Sozial-BeratungsZentrum;Region Willisau-Wiggertal;Kreuzstrasse 3B;6130;Willisau;willisau@sobz.ch 
Suchtberatung;ags, Wohlen;Bahnhofstrasse 6;5610;Wohlen;wohlen@suchtberatung-ags.ch 
Fachstelle Sucht Bezirk;Hinwil fsbh Verein Fachstelle;Pappelnstrasse 16;8620;Wetzikon;info@fsbh-zo.ch 
Perspektive Thurgau,;Standort Weinfelden;Felsenstrasse 5;8570;Weinfelden;info@perspektive-tg.ch 
Suchtberatung;Region Wil;Marktgasse 61;9500;Wil;info@sbrw.ch 
Suchtberatung ags,;Zofingen;Thutplatz 19;4800;Zofingen;zofingen@suchtberatung-ags.ch 
Standort Zweisimmen;Berner Gesundheit - Santé bern;Reg. Sozialdienst Obersimmental;3770;Zweisimmen;thun@beges.ch 
RauchstoppZentrum Zürich;LungenZentrum Hirslanden;Witellikerstrasse 36;8008;Zürich;info@rauchstoppzentrum.ch 
Rauchfrei in 6 Wochen;Psychiatrische Universitätskli;Militärstrasse 8;8021;Zürich;jochen.mutschler@puk.zh.ch 
Arud Zentrum für;Suchtmedizin;Schützengasse 31;8001;Zürich;arud@arud.ch 
Krebsliga des Kantons;Zürich Rauchstopp-Kurse;Freiestrasse 71;8032;Zürich;info@krebsligazuerich.ch 
Kanton Zug, Amt für;Gesundheit Suchtberatung;Aegeristrasse 56;6300;Zug;suchtberatung@zg.ch 
Waffenplatz45 Stiftung;zsge;Waffenplatzstrasse 45;8002;Zürich;info@waffenplatz45.ch 
Stadtspital Zürich Waid;Rauchstoppberatung;Tièchestrasse 99;8037;Zürich;rauchstopp@lunge-zuerich.ch 
Zentrum für;Abhängigkeitserkrankungen (PUK);Selnaustrasse 9;8001;Zürich;zae@pukzh.ch 
Zürcher Fachstelle zur;Prävention des Suchtmittelmiss;Schindlersteig 5;8006;Zürich;info@zfps.ch 
UniversitätsSpital Zürich;USZ, Klinik für Kardiologie Ra;Rämistrasse 100;8091;Zürich;herzzentrum@usz.ch 
