Name der Einrichtung;Strasse mit Hausnummer;Postleitzahl;Stadt;E-Mail-Adresse;Detail-Link
stk(at)saaletalklinik.de;Kurhausstrasse 32;97616;Bad Neustadt/Saale;stk@saaletalklinik.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Adaptionseinrichtung Erfurt/Weimar;Arndtstraße 2;99096;Erfurt;adaption@sit-online.org;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6281&cHash=ae309aa0c3e083c30860a13d30fdbe6a
adaption(at)sit-online.org;Arndtstraße 2;99096;Erfurt;adaption@sit-online.org;https://www.dhs.de/service/suchthilfeverzeichnis/
Adaptionshaus Birkenwerder;Bergfelder Str. 10;16547;Birkenwerder;adaptionshaus@adv-suchthilfe.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5343&cHash=08e89f1eac5aff76ee8c6591780d8a0b
adaptionshaus(at)adv-suchthilfe.de;Bergfelder Str. 10;16547;Birkenwerder;adaptionshaus@adv-suchthilfe.de;https://www.dhs.de/service/suchthilfeverzeichnis/
AGJ Suchtberatung Heidelberg;Bergheimer Straße 127/1;69115;Heidelberg;suchtberatung-heidelberg@agj-freiburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5249&cHash=8440d60e17df3c8c1cd6cd7a0c715e28
suchtberatung-heidelberg(at)agj-freiburg.de;Bergheimer Straße 127/1;69115;Heidelberg;suchtberatung-heidelberg@agj-freiburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/
AGJ Suchtberatung Konstanz;Luisenstr. 7;78464;Konstanz;suchtberatung-konstanz@agj-freiburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5761&cHash=82dda66d4274d260611122b3d5493162
suchtberatung-konstanz(at)agj-freiburg.de;Luisenstr. 7;78464;Konstanz;suchtberatung-konstanz@agj-freiburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/
AGJ Suchtberatung Sigmaringen;Karlstr. 29;72488;Sigmaringen;suchtberatung-sigmaringen@agj-freiburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=3910&cHash=b10e399710481bedd1091b7ca64bf944
suchtberatung-sigmaringen(at)agj-freiburg.de;Karlstr. 29;72488;Sigmaringen;suchtberatung-sigmaringen@agj-freiburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/
AH Suchtberatungstelle;Rathenower Str. 2-3;14770;Brandenburg;info@ah-brandenburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4101&cHash=16dbede0ee68f6f1713accce7548d02c
info(at)ah-brandenburg.de;Rathenower Str. 2-3;14770;Brandenburg;info@ah-brandenburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Aids-, Drogen- und Jugendhilfe Landau e.V.;Queichheimer Hauptstraße 28;76829;Landau;info@aids-drogen-jugendhilfe.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4438&cHash=c0c0cf31f5d057257f498f98b44c0247
info(at)aids-drogen-jugendhilfe.de;Queichheimer Hauptstraße 28;76829;Landau;info@aids-drogen-jugendhilfe.de;https://www.dhs.de/service/suchthilfeverzeichnis/
"akzeptierende Beratungsstelle ""experience""";Gubener Straße 29;16227;Eberswalde;beratungsstelle-experience@web.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5536&cHash=28fc01e223c2b16750deb6b1d2e54361
beratungsstelle-experience(at)web.de;Gubener Straße 29;16227;Eberswalde;beratungsstelle-experience@web.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Alexianer IBP Suchtberatungsstelle GmbH;Kuchenstraße 8;48653;Coesfeld;suchtberatung.ibp@alexianer.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5857&cHash=4f20612daae8ca28a435b87d6e0df45a
suchtberatung.ibp(at)alexianer.de;Kuchenstraße 8;48653;Coesfeld;suchtberatung.ibp@alexianer.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Alexianer Krefeld GmbH;Dießemer Bruch 81;47805;Krefeld;s.kossi@alexianer.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4604&cHash=64ff6362ead1c124bc5fc91714c2a6a6
s.kossi(at)alexianer.de;Dießemer Bruch 81;47805;Krefeld;s.kossi@alexianer.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Alkohol- und Medikamentenberatungsstelle Tempelhof-Schöneberg;Tempelhofer Damm 129;12099;Berlin;amb@notdienstberlin.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4368&cHash=29bfc5838e4451cc1af784f1b0c0867e
amb(at)notdienstberlin.de;Tempelhofer Damm 129;12099;Berlin;amb@notdienstberlin.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Alternative e.V.;Rosa-Luxemburg-Str. 13;07607;Eisenberg;kontakt@alternative-ev.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5904&cHash=b47fac1bb30b8b5d684283137610eb04
kontakt(at)alternative-ev.de;Rosa-Luxemburg-Str. 13;07607;Eisenberg;kontakt@alternative-ev.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Altes Diakonat Hennstedt;Horster Straße 2-4;25779;Hennstedt;wg.diakonat@iuvo.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5533&cHash=6ec1adcf5458370efa566bcda7ca2184
wg.diakonat(at)iuvo.de;Horster Straße 2-4;25779;Hennstedt;wg.diakonat@iuvo.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Ambulant Betreutes Wohnen;Westwall 67;47798;Krefeld;bewo@caritas-krefeld.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6071&cHash=e496f465638112d3f07a8bff95957d2d
bewo(at)caritas-krefeld.de;Westwall 67;47798;Krefeld;bewo@caritas-krefeld.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Ambulant Betreutes Wohnen Diakonie Naumburg- Zeitz gGmbH;Paul- Rohland- Str. 2;06712;Zeitz;abw@diakonie-naumburg-zeitz.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6198&cHash=6a09ae793fa8f1b34da597a6df40c3cb
abw(at)diakonie-naumburg-zeitz.de;Paul- Rohland- Str. 2;06712;Zeitz;abw@diakonie-naumburg-zeitz.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Ambulant betreutes Wohnen IMPULS für Menschen mit einer Suchterkrankung;Wittelsbacherstr. 4a;91126;Schwabach;bewo@diakonie-sf.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5565&cHash=021a84e478be5e5fc015fac5a927a44d
bewo(at)diakonie-sf.de;Wittelsbacherstr. 4a;91126;Schwabach;bewo@diakonie-sf.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Ambulant Betreutes Wohnen/ Tagesstätte;Nordstraße 46;99089;Erfurt;betreutes-wohnen-erfurt@neustart-online.org;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6287&cHash=bb37595565c3f0e09e1a74720b429837
betreutes-wohnen-erfurt(at)neustart-online.org;Nordstraße 46;99089;Erfurt;betreutes-wohnen-erfurt@neustart-online.org;https://www.dhs.de/service/suchthilfeverzeichnis/
Ambulante Suchthilfe der RheinMainBildung gGmbH;Uhlandstr. 36;60314;Frankfurt am Main;ash@rm-b.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5802&cHash=255f1a56ddfbda16501c0698655989c2
ash(at)rm-b.de;Uhlandstr. 36;60314;Frankfurt am Main;ash@rm-b.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Ambulante Suchthilfe Diakonisches Werk Hanau-Main-Kinzig;Marie-Curie-Straße 1;63457;Hanau;kontakt.dwh@ekkw.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5126&cHash=17410b22294d4f3a422f5d5bdcb20475
kontakt.dwh(at)ekkw.de;Marie-Curie-Straße 1;63457;Hanau;kontakt.dwh@ekkw.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Ambulantes Centrum;Leverkusenstr. 33A;22761;Hamburg;ambulantes.centrum@jhj.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6111&cHash=6cb684da3df2fdc12beb7968500b6841
ambulantes.centrum(at)jhj.de;Leverkusenstr. 33A;22761;Hamburg;ambulantes.centrum@jhj.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Ambulatorium;Althofstr. 4;45468;Mülheim an der Ruhr;ambulatorium@diakonie-muelheim.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5885&cHash=5b26aafc08780370da88978a186716e5
ambulatorium(at)diakonie-muelheim.de;Althofstr. 4;45468;Mülheim an der Ruhr;ambulatorium@diakonie-muelheim.de;https://www.dhs.de/service/suchthilfeverzeichnis/
AMEOS Klinikum Haldensleben;Kiefholzstr. 4;39340;Haldensleben;info@haldensleben.ameos.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5380&cHash=c66857b4a4b45032a073e5548872ad96
info(at)haldensleben.ameos.de;Kiefholzstr. 4;39340;Haldensleben;info@haldensleben.ameos.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ANKER Ambulant betreutes Wohnen;Telemannstraße 11;06124;Halle/Saale;anker@awo-halle-merseburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4003&cHash=d5fb9a50832e2214133027fb74ce3d0d
anker(at)awo-halle-merseburg.de;Telemannstraße 11;06124;Halle/Saale;anker@awo-halle-merseburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Anonyme Drogenberatung;Scheunebergstraße 41;27749;Delmenhorst;info@drob-delmenhorst.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4511&cHash=4d4916287221803e617b78cf5680c9a6
info(at)drob-delmenhorst.de;Scheunebergstraße 41;27749;Delmenhorst;info@drob-delmenhorst.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Anthojo Lounge;Äußere Rosenheimer Straße 2;83278;Traunstein;Lounge@anthojo.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4579&cHash=57bd62ee86403a4e9763616781274eb4
Lounge(at)anthojo.de;Äußere Rosenheimer Straße 2;83278;Traunstein;Lounge@anthojo.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Arbeiter-Samariter-Bund Regionalverband Altkreis Quedlinburg e.V.;Neuer Weg 22/23;06484;Quedlinburg;beratungsstellequedlinburg@asb-harzkreis.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4523&cHash=139691e127a7ee86038f57fce83ef8c2
beratungsstellequedlinburg(at)asb-harzkreis.de;Neuer Weg 22/23;06484;Quedlinburg;beratungsstellequedlinburg@asb-harzkreis.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Arbeiter-Samariter-Bund Regionalverband Altkreis Quedlinburg e.V.;Karl-Marx-Str. 32;06502;Thale;beratungsstellethale@asb-harzkreis.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4525&cHash=dc70e169805b0c92e4f74cd51fc68105
beratungsstellethale(at)asb-harzkreis.de;Karl-Marx-Str. 32;06502;Thale;beratungsstellethale@asb-harzkreis.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Arbeitskreis Jugend- und Drogenberatung im Kreis Warendorf e.V.;Königstraße 9;59227;Ahlen;drobs@drobs-online.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4778&cHash=c501068316e3b42e137e1598e3c3c7b1
drobs(at)drobs-online.de;Königstraße 9;59227;Ahlen;drobs@drobs-online.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Arbeitsprojekt Multiflex;Niedergasse 41;64319;Pfungstadt;helo.hering@stiftung-waldmuehle.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4208&cHash=56f49db668fe85640222e29dc567976e
helo.hering(at)stiftung-waldmuehle.de;Niedergasse 41;64319;Pfungstadt;helo.hering@stiftung-waldmuehle.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Asklepios Fachklinikum Lübben, Klinik für Kinder- und Jugendpsychiatrie, Psychotherapie und Psychosomatik;Luckauer Straße 17;15907;Lübben;br.mueller@asklepios.com;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=3922&cHash=b2f3206ebecbdef325dce01d4b5f141a
br.mueller(at)asklepios.com;Luckauer Straße 17;15907;Lübben;br.mueller@asklepios.com;https://www.dhs.de/service/suchthilfeverzeichnis/
Assistenz beim Wohnen Hameln-Pyrmont;Kaiserstraße 55;31785;Hameln;abw.hameln@ps-nds.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4279&cHash=e13e2cda11fc2b9388ed89c7aac41da6
abw.hameln(at)ps-nds.de;Kaiserstraße 55;31785;Hameln;abw.hameln@ps-nds.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Assistenzleistungen im eigenen Wohnraum (AWS) - bwlv;Kelternstr. 30;72070;Tübingen;aws-tue@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6105&cHash=2ba2439890ded3d6ca2d5f224237b98a
aws-tue(at)bw-lv.de;Kelternstr. 30;72070;Tübingen;aws-tue@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ATS - Suchthilfezentrum;Oldenburger Str. 4;23730;Neustadt i.H.;ats.neustadt@landesverein.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6305&cHash=a06e355934b9033924dc55151e83f9f2
ats.neustadt(at)landesverein.de;Oldenburger Str. 4;23730;Neustadt i.H.;ats.neustadt@landesverein.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ATS - Suchthilfezentrum;Kirchhofstr. 2-6;23774;Heiligenhafen;ats.burg@landesverein.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6306&cHash=0ce35fa15af241d7867a7ee4b166e02d
ats.burg(at)landesverein.de;Kirchhofstr. 2-6;23774;Heiligenhafen;ats.burg@landesverein.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ATS - Suchthilfezentrum Heiligenhafen;Kirchhofstr. 2 - 6;23774;Heiligenhafen;sucht.burg@landesverein.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6304&cHash=e9909f08e14e91b8df963cd14605183d
sucht.burg(at)landesverein.de;Kirchhofstr. 2 - 6;23774;Heiligenhafen;sucht.burg@landesverein.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ATS Beratungszentrum Sucht;Flottkamp 13b;24568;Kaltenkirchen;sucht.kaki@ats-sh.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5401&cHash=75e5bc44bed92a59ead4757736b38f38
sucht.kaki(at)ats-sh.de;Flottkamp 13b;24568;Kaltenkirchen;sucht.kaki@ats-sh.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ATS Suchthilfezentrum Bad Segeberg;Gartenstraße 17;23795;Bad Segeberg;ats.segeberg@landesverein.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5234&cHash=48f3fe602bd610e88ac9f51ac39c630e
ats.segeberg(at)landesverein.de;Gartenstraße 17;23795;Bad Segeberg;ats.segeberg@landesverein.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ATS Suchthilfezentrum Burg auf Fehmarn;Klaus-Groth-Straße 1;23769;Fehmarn OT Burg;sucht.burg@ats-sh.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5244&cHash=94ebdfd44e309bb8a00d2e7249cd0e45
sucht.burg(at)ats-sh.de;Klaus-Groth-Straße 1;23769;Fehmarn OT Burg;sucht.burg@ats-sh.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ATS Suchthilfezentrum im Kreis Plön;Kirchenstraße 33a;24211;Preetz;sucht.preetz@ats-sh.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4967&cHash=f53f487c55ccb30bac3d33f7291cea43
sucht.preetz(at)ats-sh.de;Kirchenstraße 33a;24211;Preetz;sucht.preetz@ats-sh.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ATS Suchthilfezentrum Norderstedt;Kohfurth 1;22850;Norderstedt;sucht.nor@ats-sh.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5960&cHash=191e5c0e754ce23e8b862ab8ae073b41
sucht.nor(at)ats-sh.de;Kohfurth 1;22850;Norderstedt;sucht.nor@ats-sh.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ATS Suchthilfezentrum Oldenburg in Holstein;Mühlenkamp 5;23758;Oldenburg in Holstein;sucht.old@ats-sh.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5246&cHash=6ac2da40bd82c7a96e663a0e71783505
sucht.old(at)ats-sh.de;Mühlenkamp 5;23758;Oldenburg in Holstein;sucht.old@ats-sh.de;https://www.dhs.de/service/suchthilfeverzeichnis/
ATS Suchthilfezentrum Quickborn;Am Freibad 23;25451;Quickborn;ats.quickborn@landesverein.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5265&cHash=66a6a06cae629cd8636769bdc565b290
ats.quickborn(at)landesverein.de;Am Freibad 23;25451;Quickborn;ats.quickborn@landesverein.de;https://www.dhs.de/service/suchthilfeverzeichnis/
