label,type,head,responseType,pageBreak,stim1,stimFormat,stimPos,stimOptions,responseDisplay,button1,button2,responseOptions,if,then,timer,required
,learn,Break,,,"Do something else now. Block 3/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 3/20: Select the small image that best matches the displayed cue.",word,,,,OK,,,,,,
,learn,,,,cue_match_005,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_005,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_006,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_006,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_007,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_007,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_008,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_008,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_009,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_009,.png,,,horizontal,"Left match","Right match",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 4/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 4/20: Select the description that best matches the displayed cue.",word,,,,OK,,,,,,
,practice,,,,cue_005,.png,,,horizontal,"opening the pack","tapping off ash",,,,,
,practice,,,,cue_006,.png,,,horizontal,"taking a cigarette","smoke ring",,,,,
,practice,,,,cue_007,.png,,,horizontal,"tapping the pack","window break",,,,,
,practice,,,,cue_008,.png,,,horizontal,"outside together","taking a cigarette",,,,,
,practice,,,,cue_009,.png,,,horizontal,"city air","balcony moment",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 5/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 5/20: Select the small image that best matches the displayed cue.",word,,,,OK,,,,,,
,learn,,,,cue_match_010,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_010,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_011,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_011,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_012,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_012,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_013,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_013,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_014,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_014,.png,,,horizontal,"Left match","Right match",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 6/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,practice,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 6/20: Select the description that best matches the displayed cue.",word,,,,OK,,,,,,
,practice,,,,cue_010,.png,,,horizontal,"smoke haze","pack rustling",,,,,
,practice,,,,cue_011,.png,,,horizontal,"around the table",companion,,,,,
,practice,,,,cue_012,.png,,,horizontal,"looking for a light",cloud,,,,,
,practice,,,,cue_013,.png,,,horizontal,company,click,,,,,
,practice,,,,cue_014,.png,,,horizontal,"bus-stop break","glowing moment",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 7/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 7/20: Select the small image that best matches the displayed cue.",word,,,,OK,,,,,,
,learn,,,,cue_match_015,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_015,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_016,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_016,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_017,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_017,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_018,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_018,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_019,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_019,.png,,,horizontal,"Left match","Right match",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 8/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 8/20: Select the description that best matches the displayed cue.",word,,,,OK,,,,,,
,practice,,,,cue_015,.png,,,horizontal,"courtyard break","taste of paper",,,,,
,practice,,,,cue_016,.png,,,horizontal,"habitual reach","pub air",,,,,
,practice,,,,cue_017,.png,,,horizontal,"lighter click","feeling in the fingers",,,,,
,practice,,,,cue_018,.png,,,horizontal,"outside together","lighting up",,,,,
,practice,,,,cue_019,.png,,,horizontal,"around the table","taste of the filter",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 9/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 9/20: Select the small image that best matches the displayed cue.",word,,,,OK,,,,,,
,learn,,,,cue_match_020,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_020,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_021,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_021,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_022,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_022,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_023,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_023,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_024,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_024,.png,,,horizontal,"Left match","Right match",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 10/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 10/20: Select the description that best matches the displayed cue.",word,,,,OK,,,,,,
,practice,,,,cue_020,.png,,,horizontal,"pause in conversation","first drag",,,,,
,practice,,,,cue_021,.png,,,horizontal,"night air","burnt smell",,,,,
,practice,,,,cue_022,.png,,,horizontal,"smoky air","coffee with it",,,,,
,practice,,,,cue_023,.png,,,horizontal,"glowing tip","around the table",,,,,
,practice,,,,cue_024,.png,,,horizontal,"habitual reach","dry tobacco",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 11/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 11/20: Select the small image that best matches the displayed cue.",word,,,,OK,,,,,,
,learn,,,,cue_match_025,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_025,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_026,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_026,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_027,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_027,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_028,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_028,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_029,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_029,.png,,,horizontal,"Left match","Right match",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 12/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 12/20: Select the description that best matches the displayed cue.",word,,,,OK,,,,,,
,practice,,,,cue_025,.png,,,horizontal,"filter on the lips",belonging,,,,,
,practice,,,,cue_026,.png,,,horizontal,"outside together","taste of paper",,,,,
,practice,,,,cue_027,.png,,,horizontal,flame,"brushing off ash",,,,,
,practice,,,,cue_028,.png,,,horizontal,"draw in the mouth","quiet moment",,,,,
,practice,,,,cue_029,.png,,,horizontal,"waiting time","tart scent",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 13/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 13/20: Select the small image that best matches the displayed cue.",word,,,,OK,,,,,,
,learn,,,,cue_match_030,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_030,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_031,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_031,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_032,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_032,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_033,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_033,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_034,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_034,.png,,,horizontal,"Left match","Right match",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 14/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 14/20: Select the description that best matches the displayed cue.",word,,,,OK,,,,,,
,practice,,,,cue_030,.png,,,horizontal,"lighter click","brief calm",,,,,
,practice,,,,cue_031,.png,,,horizontal,"draw in the mouth","one right now",,,,,
,practice,,,,cue_032,.png,,,horizontal,"taste of the filter","night air",,,,,
,practice,,,,cue_033,.png,,,horizontal,"city air","lighting moment",,,,,
,practice,,,,cue_034,.png,,,horizontal,"window break",flame,,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 15/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 15/20: Select the small image that best matches the displayed cue.",word,,,,OK,,,,,,
,learn,,,,cue_match_035,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_035,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_036,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_036,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_037,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_037,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_038,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_038,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_039,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_039,.png,,,horizontal,"Left match","Right match",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 16/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 16/20: Select the description that best matches the displayed cue.",word,,,,OK,,,,,,
,practice,,,,cue_035,.png,,,horizontal,"desk break","umbrella moment",,,,,
,practice,,,,cue_036,.png,,,horizontal,"balcony moment","scratchy throat",,,,,
,practice,,,,cue_037,.png,,,horizontal,crackling,"winding down",,,,,
,practice,,,,cue_038,.png,,,horizontal,"tapping the pack","dense drag",,,,,
,practice,,,,cue_039,.png,,,horizontal,"after-work drag","opening the foil",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 17/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 17/20: Select the small image that best matches the displayed cue.",word,,,,OK,,,,,,
,learn,,,,cue_match_040,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_040,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_041,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_041,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_042,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_042,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_043,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_043,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_044,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_044,.png,,,horizontal,"Left match","Right match",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 18/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 18/20: Select the description that best matches the displayed cue.",word,,,,OK,,,,,,
,practice,,,,cue_040,.png,,,horizontal,"familiar moment",flame,,,,,
,practice,,,,cue_041,.png,,,horizontal,"desk break","standing outside",,,,,
,practice,,,,cue_042,.png,,,horizontal,"spicy aroma","bus-stop break",,,,,
,practice,,,,cue_043,.png,,,horizontal,"stepping outside",aftertaste,,,,,
,practice,,,,cue_044,.png,,,horizontal,belonging,"taking a drag",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 19/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 19/20: Select the small image that best matches the displayed cue.",word,,,,OK,,,,,,
,learn,,,,cue_match_045,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_045,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_046,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_046,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_047,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_047,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_048,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_048,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_049,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_049,.png,,,horizontal,"Left match","Right match",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 20/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 20/20: Select the description that best matches the displayed cue.",word,,,,OK,,,,,,
,practice,,,,cue_045,.png,,,horizontal,"just briefly","after-work drag",,,,,
,practice,,,,cue_046,.png,,,horizontal,"smell of ash","automatic habit",,,,,
,practice,,,,cue_047,.png,,,horizontal,crackling,"wanting a drag",,,,,
,practice,,,,cue_048,.png,,,horizontal,"after-work drag","tobacco scent",,,,,
,practice,,,,cue_049,.png,,,horizontal,"smoke ring","lighting up",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
